LA_Name,LSOA_Code,LA_Code,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc
Blackburn with Darwen,E01012622,E06000008,779.700798034668,9.80865384733644,82.9487169689606
Blackburn with Darwen,E01012623,E06000008,635.756019592285,4.01674526702614,100
Blackburn with Darwen,E01012624,E06000008,714.725746154785,9.23279718587823,100
Blackburn with Darwen,E01012625,E06000008,773.703094482422,8.13631787276212,100
Blackburn with Darwen,E01012628,E06000008,496.809349060059,28.5068209408933,0
Blackburn with Darwen,E01012629,E06000008,478.816261291504,7.45432161729902,100
Blackburn with Darwen,E01012630,E06000008,600.769470214844,3.63826954154549,100
Blackburn with Darwen,E01012631,E06000008,578.777893066406,4.21459409249497,100
Blackburn with Darwen,E01012632,E06000008,807.690055847168,10.5776484570034,100
Blackburn with Darwen,E01012633,E06000008,728.720359802246,5.95146770751494,100
Blackburn with Darwen,E01012634,E06000008,589.773681640625,10.1333559400251,100
Blackburn with Darwen,E01012635,E06000008,588.774063110352,11.5623260675123,100
Blackburn with Darwen,E01012636,E06000008,672.741851806641,8.05240731615456,100
Blackburn with Darwen,E01012637,E06000008,636.755645751953,10.9731713202842,100
Blackburn with Darwen,E01012638,E06000008,702.730316162109,5.91984351212613,100
Blackburn with Darwen,E01012639,E06000008,721.723052978516,11.8744874051932,100
Blackburn with Darwen,E01012640,E06000008,721.723037719727,10.1014683543165,100
Blackburn with Darwen,E01012641,E06000008,549.789016723633,7.16239997079366,100
Blackburn with Darwen,E01012642,E06000008,481.81510925293,6.57103753028758,100
Blackburn with Darwen,E01012643,E06000008,626.759498596191,3.51041465999916,100
Blackburn with Darwen,E01012644,E06000008,660.746429443359,2.74895613937074,100
Blackburn with Darwen,E01012645,E06000008,581.776763916016,10.8795531726183,100
Blackburn with Darwen,E01012646,E06000008,743.714599609375,12.4425941313025,100
Blackburn with Darwen,E01012647,E06000008,645.752227783203,19.9839630209424,0
Blackburn with Darwen,E01012648,E06000008,530.79630279541,7.1832579338655,100
Blackburn with Darwen,E01012649,E06000008,632.757194519043,13.2595260914528,60.0315956432873
Blackburn with Darwen,E01012650,E06000008,595.771392822266,12.722483236347,83.0536915415995
Blackburn with Darwen,E01012651,E06000008,685.736846923828,6.63282818609983,100
Blackburn with Darwen,E01012652,E06000008,651.749885559082,9.87055201343373,100
Blackburn with Darwen,E01012653,E06000008,579.777519226074,5.3874310736776,100
Blackburn with Darwen,E01012654,E06000008,761.707717895508,5.64145669298736,100
Blackburn with Darwen,E01012655,E06000008,878.662818908691,9.84621155973095,100
Blackburn with Darwen,E01012656,E06000008,626.759490966797,7.0345294214101,100
Blackburn with Darwen,E01012657,E06000008,717.724601745605,6.58717265848103,100
Blackburn with Darwen,E01012658,E06000008,755.709999084473,6.55835980562973,100
Blackburn with Darwen,E01012659,E06000008,592.772537231445,9.20112985229328,100
Blackburn with Darwen,E01012660,E06000008,462.822380065918,12.9525702048698,100
Blackburn with Darwen,E01012661,E06000008,686.736480712891,10.6892724018718,100
Blackpool,E01012662,E06000009,813.490142822266,16.6045914110558,19.9519234466561
Blackpool,E01012663,E06000009,734.292198181152,6.02412786590517,100
Blackpool,E01012664,E06000009,698.115341186523,9.00710097791823,100
Blackpool,E01012665,E06000009,843.800468444824,14.2226533166259,68.59791417822
Blackpool,E01012666,E06000009,652.160972595215,17.3488901615077,18.1409291055223
Blackpool,E01012667,E06000009,627.717147827148,15.7980374294965,19.6261681788628
Blackpool,E01012668,E06000009,711.803863525391,13.2509476244894,67.0329670800809
Blackpool,E01012669,E06000009,855.533508300781,16.9776572988215,0
Blackpool,E01012670,E06000009,561.229988098145,10.4694598929367,100
Blackpool,E01012671,E06000009,572.963020324707,10.4879010687066,100
Blackpool,E01012672,E06000009,527.986389160156,6.62914808709786,100
Blackpool,E01012673,E06000009,696.15983581543,10.5770925526463,100
Blackpool,E01012674,E06000009,703.981842041016,6.12027777469072,100
Blackpool,E01012675,E06000009,681.493545532227,4.77703015533904,100
Blackpool,E01012676,E06000009,597.40682220459,11.5080687372811,100
Blackpool,E01012677,E06000009,600.34008026123,9.85763854985914,100
Blackpool,E01012678,E06000009,721.581390380859,8.95907857856874,100
Blackpool,E01012679,E06000009,622.828399658203,3.64733129696027,100
Blackpool,E01012680,E06000009,668.782760620117,9.87614059790847,100
Blackpool,E01012681,E06000009,745.047470092773,5.86694222360676,100
Blackpool,E01012682,E06000009,728.425674438477,8.19209393995093,100
Blackpool,E01012683,E06000009,699.093086242676,4.42556636345427,100
Blackpool,E01012684,E06000009,673.671516418457,9.9161102551308,100
Blackpool,E01012685,E06000009,623.806144714355,15.1133542099054,57.3667713592415
Blackpool,E01012686,E06000009,621.850631713867,19.6390727608549,0
Blackpool,E01012687,E06000009,617.93962097168,20.0283066990014,0
Blackpool,E01012688,E06000009,643.361198425293,16.8904408078546,43.6170211882867
Blackpool,E01012689,E06000009,615.984115600586,15.6224286333152,18.25396803771
Blackpool,E01012690,E06000009,723.536895751953,18.2368239888228,16.2162161592185
Blackpool,E01012691,E06000009,772.424530029297,11.668012671987,100
Blackpool,E01012692,E06000009,808.601379394531,12.3458526407339,86.8198311081757
Blackpool,E01012693,E06000009,708.87060546875,17.0638206890341,15.3103446524132
Blackpool,E01012694,E06000009,630.650405883789,13.9471937331554,80.6201551137839
Blackpool,E01012695,E06000009,602.295585632324,10.8117046517466,100
