service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
33705,1,0,0,1,1,0,1,20251107,20260111
33708,1,0,0,1,1,1,1,20251107,20260111
33713,0,0,1,0,0,0,0,20251107,20260111
33914,1,1,1,1,1,1,1,20251107,20260331
33927,0,0,0,0,0,1,1,20251107,20260331
33928,1,1,1,1,1,0,0,20251107,20260331
33929,1,1,1,1,1,0,0,20251107,20260331
33930,1,1,1,1,1,1,1,20251107,20260331
33931,0,0,0,0,0,0,1,20251107,20260331
33932,0,0,0,0,0,1,1,20251107,20260331
33933,1,1,0,0,0,0,0,20251107,20260331
33935,1,1,1,1,1,0,0,20251107,20260331
33938,0,0,0,0,0,1,1,20251107,20260331
33950,1,1,0,0,1,1,1,20251107,20260111
33953,1,1,0,0,1,0,1,20251107,20260111
33956,1,1,1,1,1,1,1,20251107,20260111
33958,1,1,0,1,1,1,1,20251107,20260111
33965,1,1,1,1,1,1,1,20251107,20260331
34132,1,1,1,1,1,1,1,20251107,20260111
34163,0,0,1,1,1,1,1,20251107,20260111
34164,0,0,1,1,1,1,1,20251107,20260111
34165,0,0,1,1,1,0,1,20251107,20260111
34167,1,0,0,1,1,1,1,20251107,20260111
34168,0,0,1,1,1,1,1,20251107,20260111
34171,1,0,0,0,0,0,0,20251107,20260111
34200,0,0,0,0,1,0,0,20251107,20260807
34202,1,1,1,1,1,0,0,20251107,20260807
35447,0,0,0,0,0,0,1,20251107,20251223
35527,1,1,1,1,1,1,1,20251107,20260807
35937,1,1,1,1,0,0,0,20251107,20251221
35938,0,0,0,0,1,0,0,20251107,20251221
35967,1,1,0,1,0,0,0,20251107,20251221
35973,0,0,0,0,1,0,0,20251107,20251221
35975,0,0,1,0,1,0,0,20251107,20251221
35993,0,0,1,0,0,0,0,20251107,20251221
36000,1,1,0,1,1,0,0,20251107,20251221
36006,0,0,1,0,0,0,0,20251107,20251221
36053,1,1,0,1,1,0,0,20251107,20251221
36060,1,1,1,1,1,0,0,20251107,20251221
36064,0,0,1,0,0,0,0,20251107,20251221
36069,1,1,0,1,0,0,0,20251107,20251221
36793,1,0,0,0,1,1,0,20251107,20251231
36807,0,0,0,0,0,0,1,20251107,20251231
37171,1,1,1,1,1,0,0,20251107,20251223
39606,0,0,0,0,0,1,0,20251107,20260807
39714,0,0,0,0,0,1,0,20251108,20260808
39715,0,0,0,0,1,0,0,20251108,20260808
39716,1,1,1,1,0,0,0,20251108,20260808
39733,0,0,0,0,0,0,1,20251108,20260808
39797,1,1,1,1,1,0,0,20251107,20260807
