stop_id,stop_name,stop_lat,stop_lon,LSOA11CD,LSOA11NM,LADNM,join_method,nearest_dist_m
2580BRK0013,Peter Street,53.755305131,-2.471517492,E01012574,Blackburn with Darwen 003A,Blackburn with Darwen,within,
2500LAA17014,St Marys Church,53.744105621,-2.389029454,E01025075,Hyndburn 007B,Hyndburn,within,
1800NC20211,Bury Town Hall,53.58922,-2.30012,,,,,
2590B0217,Stronsay Place,53.858124995,-3.026340301,E01012704,Blackpool 002C,Blackpool,within,
490007045FL,Finchley Road / O2 Centre,51.54791,-0.18067,,,,,
0610VR328,Wesley Court,53.1942911,-2.5126791,,,,,
2800S31021A,Greasby Primary School,53.36944,-3.12262,,,,,
090074663896,Horse & Farrier,54.61913276729041,-3.0506268767832783,,,,,
2800S13085B,Basildon Close,53.43116,-2.74737,,,,,
1800NC41751,St Monica's High School,53.52743,-2.26616,,,,,
1800ED24781,Chapel Road,53.5264,-2.136883,,,,,
1000DEBEG777,Gates,53.226627,-1.625096,,,,,
2500IMG1602,Fernlea Avenue,53.917334275,-2.187383969,E01025192,Pendle 001B,Pendle,within,
2800S52078B,Redhill Avenue,53.47348,-2.87454,,,,,
2500DCL5648,Shore Service Station,53.688277671,-2.171297417,E01025359,Rossendale 009A,Rossendale,within,
25001474,Cock and Bottle,53.678448233,-2.832088136,E01025533,West Lancashire 001F,West Lancashire,within,
450019576,Mayroyd Bridge,53.7369390757048,-2.002918819567037,,,,,
069000012725,Peacock Avenue,53.396536497,-2.56793877,,,,,
2590B0842,Stanley School,53.804789263,-3.010337783,E01012714,Blackpool 014E,Blackpool,within,
0600MA0019,The King's School,53.264221,-2.131726,,,,,
2590B0003,Buchanan Street,53.818700586,-3.042677809,E01012675,Blackpool 010B,Blackpool,within,
069000020170,Bridge Inn,53.431939264,-2.657935821,,,,,
2500IMG868,Thistleton Road,53.764606607,-2.753905109,E01025269,Preston 013F,Preston,within,
090002274332,How Close,54.6639850100312,-3.2764218463153334,,,,,
