LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile,LA_Name,Service_users_LSOA,GP_PT_walk_mins,GP_PT_15mins_perc,LA_Code,Total_Above 65,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation_x,Total_Disablities,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation_y
E01012649,,,,,Blackburn with Darwen,632.757194519043,13.2595260914528,60.0315956432873,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012650,,,,,Blackburn with Darwen,595.771392822266,12.722483236347,83.0536915415995,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012651,,,,,Blackburn with Darwen,685.736846923828,6.63282818609983,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012652,,,,,Blackburn with Darwen,651.749885559082,9.87055201343373,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012653,,,,,Blackburn with Darwen,579.777519226074,5.3874310736776,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012654,,,,,Blackburn with Darwen,761.707717895508,5.64145669298736,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012655,,,,,Blackburn with Darwen,878.662818908691,9.84621155973095,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012656,,,,,Blackburn with Darwen,626.759490966797,7.0345294214101,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012657,,,,,Blackburn with Darwen,717.724601745605,6.58717265848103,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012658,,,,,Blackburn with Darwen,755.709999084473,6.55835980562973,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012659,,,,,Blackburn with Darwen,592.772537231445,9.20112985229328,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012660,,,,,Blackburn with Darwen,462.822380065918,12.9525702048698,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012661,,,,,Blackburn with Darwen,686.736480712891,10.6892724018718,100.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01032485,,,,,Blackburn with Darwen,718.724189758301,24.369081574996,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01032486,,,,,Blackburn with Darwen,605.767555236816,23.6707095151823,0.0,E06000008,22400.0,4.0,Household is deprived in three dimensions,3692.0,20.8,0.0,No cars or vans in household,15814.0
E01012662,,,,,Blackpool,813.490142822266,16.6045914110558,19.9519234466561,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012663,,,,,Blackpool,734.292198181152,6.02412786590517,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012664,,,,,Blackpool,698.115341186523,9.00710097791823,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012665,,,,,Blackpool,843.800468444824,14.2226533166259,68.59791417822,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012666,,,,,Blackpool,652.160972595215,17.3488901615077,18.1409291055223,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012667,,,,,Blackpool,627.717147827148,15.7980374294965,19.6261681788628,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012668,,,,,Blackpool,711.803863525391,13.2509476244894,67.0329670800809,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012669,,,,,Blackpool,855.533508300781,16.9776572988215,0.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012670,,,,,Blackpool,561.229988098145,10.4694598929367,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012671,,,,,Blackpool,572.963020324707,10.4879010687066,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012672,,,,,Blackpool,527.986389160156,6.62914808709786,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012673,,,,,Blackpool,696.15983581543,10.5770925526463,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012674,,,,,Blackpool,703.981842041016,6.12027777469072,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012675,,,,,Blackpool,681.493545532227,4.77703015533904,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012676,,,,,Blackpool,597.40682220459,11.5080687372811,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012677,,,,,Blackpool,600.34008026123,9.85763854985914,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012678,,,,,Blackpool,721.581390380859,8.95907857856874,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012679,,,,,Blackpool,622.828399658203,3.64733129696027,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012680,,,,,Blackpool,668.782760620117,9.87614059790847,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012681,,,,,Blackpool,745.047470092773,5.86694222360676,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012682,,,,,Blackpool,728.425674438477,8.19209393995093,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012683,,,,,Blackpool,699.093086242676,4.42556636345427,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012684,,,,,Blackpool,673.671516418457,9.9161102551308,100.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012685,,,,,Blackpool,623.806144714355,15.1133542099054,57.3667713592415,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012686,,,,,Blackpool,621.850631713867,19.6390727608549,0.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012687,,,,,Blackpool,617.93962097168,20.0283066990014,0.0,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012688,,,,,Blackpool,643.361198425293,16.8904408078546,43.6170211882867,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
E01012689,,,,,Blackpool,615.984115600586,15.6224286333152,18.25396803771,E06000009,29191.0,4.0,Household is deprived in three dimensions,4183.0,24.7,0.0,No cars or vans in household,22019.0
