LSOA_Code,LSOA Name,Health and Disability Decile,Barriers to Housing & Services Decile,IDAOPI Decile
E01025550,Wyre 012A E01025550,6,7,7
E01025552,Wyre 012B E01025552,5,8,9
E01025577,Wyre 011E E01025577,1,10,3
E01025543,Wyre 011B E01025543,4,10,5
E01025597,Wyre 012F E01025597,4,8,6
E01025596,Wyre 012E E01025596,6,4,7
E01025594,Wyre 012C E01025594,3,9,7
E01025595,Wyre 012D E01025595,5,7,9
E01025588,Wyre 004F E01025588,2,8,5
E01025586,Wyre 004D E01025586,4,9,6
E01025589,Wyre 004G E01025589,3,6,6
E01025587,Wyre 004E E01025587,2,5,5
E01025565,Wyre 004C E01025565,4,8,6
E01025545,Wyre 013A E01025545,5,9,8
E01025546,Wyre 013B E01025546,5,10,4
E01025598,Wyre 013E E01025598,3,10,4
E01025567,Wyre 013D E01025567,3,10,4
E01025600,Wyre 014E E01025600,6,9,8
E01025569,Wyre 014C E01025569,7,10,9
E01025551,Wyre 013C E01025551,5,6,8
E01025026,Fylde 001B E01025026,4,2,5
E01025566,Wyre 014A E01025566,8,5,10
E01024993,Fylde 001A E01024993,4,4,7
E01025564,Wyre 004B E01025564,5,10,6
E01025563,Wyre 004A E01025563,3,6,7
E01025584,Wyre 001F E01025584,1,10,2
E01025575,Wyre 005B E01025575,1,10,1
E01025583,Wyre 001E E01025583,1,10,2
E01025581,Wyre 001C E01025581,1,10,3
E01025582,Wyre 001D E01025582,1,10,3
E01025574,Wyre 001B E01025574,1,10,2
E01025607,Wyre 002C E01025607,5,10,5
E01025573,Wyre 001A E01025573,4,10,7
E01025580,Wyre 005E E01025580,3,10,8
E01025608,Wyre 002D E01025608,5,10,6
E01025579,Wyre 005D E01025579,1,10,3
E01025578,Wyre 005C E01025578,2,10,3
E01025606,Wyre 002B E01025606,1,8,2
E01025605,Wyre 002A E01025605,2,10,5
E01025593,Wyre 003D E01025593,3,6,8
E01025591,Wyre 003B E01025591,3,10,6
E01025590,Wyre 003A E01025590,1,10,2
E01025592,Wyre 003C E01025592,1,10,1
E01024988,Fylde 006E E01024988,2,9,5
E01024995,Fylde 008E E01024995,5,4,8
E01024982,Fylde 008B E01024982,2,5,7
E01024986,Fylde 006C E01024986,1,9,5
E01024994,Fylde 008D E01024994,7,4,9
E01025003,Fylde 008F E01025003,6,10,8
E01024987,Fylde 006D E01024987,1,9,2
E01024996,Fylde 006G E01024996,1,6,3
E01025002,Fylde 005B E01025002,3,10,5
E01024989,Fylde 006F E01024989,3,10,5
E01024985,Fylde 006B E01024985,5,10,9
E01025023,Fylde 004C E01025023,5,10,9
E01024984,Fylde 006A E01024984,3,10,8
E01025025,Fylde 004E E01025025,4,10,5
E01025004,Fylde 004A E01025004,6,9,7
E01025006,Fylde 004B E01025006,1,2,2
E01025005,Fylde 005C E01025005,5,9,8
E01025017,Fylde 008G E01025017,3,10,3
E01025018,Fylde 005E E01025018,4,10,8
E01025016,Fylde 005D E01025016,9,6,10
E01024983,Fylde 008C E01024983,6,10,8
E01024992,Fylde 009C E01024992,5,8,10
E01025021,Fylde 009E E01025021,7,8,8
E01024981,Fylde 008A E01024981,7,5,9
E01024990,Fylde 009A E01024990,5,10,7
E01025022,Fylde 009F E01025022,8,10,7
E01025020,Fylde 009D E01025020,5,8,5
E01025029,Fylde 007D E01025029,5,7,6
E01024991,Fylde 009B E01024991,4,8,7
E01025479,West Lancashire 008A E01025479,8,1,8
E01025474,West Lancashire 003A E01025474,5,2,6
E01007070,Sefton 017D E01007070,5,10,8
E01025518,West Lancashire 007E E01025518,2,8,4
E01025519,West Lancashire 006F E01025519,6,8,7
E01025516,West Lancashire 006D E01025516,6,10,7
E01025500,West Lancashire 007D E01025500,5,9,3
E01025499,West Lancashire 006A E01025499,6,9,8
E01025517,West Lancashire 006E E01025517,3,8,4
E01025488,West Lancashire 007A E01025488,6,4,6
E01025490,West Lancashire 007C E01025490,5,7,5
E01025489,West Lancashire 007B E01025489,6,6,6
E01025491,West Lancashire 008B E01025491,7,3,7
E01025475,West Lancashire 012C E01025475,7,8,10
E01025477,West Lancashire 012E E01025477,8,7,7
E01025501,West Lancashire 006B E01025501,7,8,9
E01025502,West Lancashire 006C E01025502,8,8,8
E01025476,West Lancashire 012D E01025476,8,5,7
E01025478,West Lancashire 012F E01025478,8,7,9
E01025472,West Lancashire 012A E01025472,9,5,10
E01025473,West Lancashire 012B E01025473,5,5,6
E01025495,West Lancashire 003B E01025495,8,3,6
E01025485,West Lancashire 004C E01025485,7,10,6
E01025515,West Lancashire 003D E01025515,6,2,6
E01025487,West Lancashire 004E E01025487,5,9,6
E01025513,West Lancashire 002D E01025513,8,3,8
E01024974,Chorley 007B E01024974,8,5,8
E01025514,West Lancashire 003C E01025514,8,2,6
E01024965,Chorley 011D E01024965,8,8,10
E01024964,Chorley 007A E01024964,8,4,9
E01025511,West Lancashire 005B E01025511,9,4,9
E01025484,West Lancashire 004B E01025484,7,7,8
E01025506,West Lancashire 008C E01025506,7,4,7
E01025483,West Lancashire 004A E01025483,5,8,5
E01025486,West Lancashire 004D E01025486,6,6,6
E01025468,West Lancashire 009A E01025468,8,9,6
E01033071,Lancaster 014E E01033071,2,7,3
E01025099,Lancaster 014C E01025099,3,6,4
E01033073,Lancaster 014F E01033073,3,8,4
E01025093,Lancaster 014A E01025093,2,6,4
E01025091,Lancaster 013A E01025091,1,7,2
E01025102,Lancaster 017C E01025102,7,8,5
E01025094,Lancaster 014B E01025094,3,10,2
E01025101,Lancaster 017B E01025101,1,6,3
E01025126,Lancaster 013D E01025126,8,7,9
E01025151,Lancaster 011C E01025151,1,7,1
E01025150,Lancaster 011B E01025150,4,10,4
E01025149,Lancaster 011A E01025149,3,10,5
E01025152,Lancaster 011D E01025152,3,8,5
E01025159,Lancaster 003D E01025159,4,6,9
E01025154,Lancaster 011E E01025154,1,7,1
E01025153,Lancaster 020F E01025153,5,10,7
E01025156,Lancaster 020H E01025156,1,8,1
E01025157,Lancaster 020I E01025157,1,8,2
E01025155,Lancaster 020G E01025155,5,10,8
E01025165,Lancaster 020E E01025165,7,7,7
E01025125,Lancaster 015A E01025125,5,9,7
